sprite,category,family,race,class,variant
dragon_giant_bone_grey_red,monster,dragon,,,grey_red
dragon_giant_bone_red,monster,dragon,,,red
dragon_man_black,monster,dragon,,,black
dragon_man_blue,monster,dragon,,,blue
dragon_man_bronze,monster,dragon,,,bronze
dragon_man_gold,monster,dragon,,,gold
dragon_man_green,monster,dragon,,,green
dragon_man_rainbow,monster,dragon,,,rainbow
dragon_man_red,monster,dragon,,,red
dragon_man_silver,monster,dragon,,,silver
dragon_spirit,monster,dragon,,,
dragon_young_black,monster,dragon,,,black
dragon_young_blue,monster,dragon,,,blue
dragon_young_bronze,monster,dragon,,,bronze
dragon_young_gold,monster,dragon,,,gold
dragon_young_green,monster,dragon,,,green
dragon_young_rainbow,monster,dragon,,,rainbow
dragon_young_red,monster,dragon,,,red
dragon_young_silver,monster,dragon,,,silver
drake_giant_black,monster,drake,,,black
drake_giant_blue,monster,drake,,,blue
drake_giant_bronze,monster,drake,,,bronze
drake_giant_grey,monster,drake,,,grey
drake_giant_red,monster,drake,,,red
drake_giant_red2,monster,drake,,,red
drake_giant_white,monster,drake,,,white
drake_spirit,monster,drake,,,
eagle,monster,eagle,,,
eagle2_headed,monster,eagle,,,
eagle_hound_black,monster,eagle,,,black
eagle_hound_blue,monster,eagle,,,blue
eagle_hound_brown,monster,eagle,,,brown
eagle_hound_gold,monster,eagle,,,gold
eagle_hound_green_dark,monster,eagle,,,green_dark
eagle_hound_grey,monster,eagle,,,grey
eagle_hound_grey2,monster,eagle,,,grey
eagle_hound_grey3,monster,eagle,,,grey
eagle_hound_orange,monster,eagle,,,orange
eagle_hound_pink,monster,eagle,,,pink
eagle_hound_pink2,monster,eagle,,,pink
eagle_hound_pink_light,monster,eagle,,,pink_light
eagle_hound_purple,monster,eagle,,,purple
eagle_hound_purple_light,monster,eagle,,,purple_light
eagle_hound_rainbow,monster,eagle,,,rainbow
eagle_hound_red,monster,eagle,,,red
eagle_hound_silver,monster,eagle,,,silver
eagle_hound_teal,monster,eagle,,,teal
eagle_hound_teal_light,monster,eagle,,,teal_light
eagle_hound_white,monster,eagle,,,white
elemental_air,monster,elemental,,,
elemental_earth,monster,elemental,,,
elemental_fire,monster,elemental,,,
elemental_stone,monster,elemental,,,stone
elemental_void,monster,elemental,,,
elemental_water,monster,elemental,,,
elemental_water2,monster,elemental,,,
elf_dark_assasin,character,elf,elf,assasin,dark
elf_dark_figher4,character,elf,elf,figher,dark
elf_dark_fighter,character,elf,elf,fighter,dark
elf_dark_fighter13,character,elf,elf,fighter,dark
elf_dark_fighter2,character,elf,elf,fighter,dark
elf_dark_fighter3,character,elf,elf,fighter,dark
elf_dark_fighter5,character,elf,elf,fighter,dark
elf_dark_fighter6,character,elf,elf,fighter,dark
elf_dark_fighter7,character,elf,elf,fighter,dark
elf_dark_fighter8,character,elf,elf,fighter,dark
elf_dark_lord,npc,elf,elf,,dark
elf_dark_mage,character,elf,elf,mage,dark
elf_dark_mage10,character,elf,elf,mage,dark
elf_dark_mage11,character,elf,elf,mage,dark
elf_dark_mage2,character,elf,elf,mage,dark
elf_dark_mage3,character,elf,elf,mage,dark
elf_dark_mage4,character,elf,elf,mage,dark
elf_dark_mage5,character,elf,elf,mage,dark
elf_dark_mage6,character,elf,elf,mage,dark
elf_dark_mage7,character,elf,elf,mage,dark
elf_dark_mage8,character,elf,elf,mage,dark
elf_dark_mage9,character,elf,elf,mage,dark
elf_dark_old,npc,elf,elf,,dark
elf_dark_paladin,character,elf,elf,paladin,dark
elf_dark_priest,character,elf,elf,priest,dark
elf_dark_priest2,character,elf,elf,priest,dark
elf_dark_thief,character,elf,elf,thief,dark
elf_dark_thief2,character,elf,elf,thief,dark
female_druid01,character,female,female,druid,
female_druid02,character,female,female,druid,
female_fighter01,character,female,female,fighter,
female_fighter02,character,female,female,fighter,
female_fighter03,character,female,female,fighter,
female_mage01,character,female,female,mage,
female_mage02,character,female,female,mage,
female_paladin01,character,female,female,paladin,
female_paladin02,character,female,female,paladin,
female_priest01,character,female,female,priest,
female_priest02,character,female,female,priest,
female_ranger01,character,female,female,ranger,
female_ranger02,character,female,female,ranger,
female_thief01,character,female,female,thief,
female_thief02,character,female,female,thief,
floating_eye6_eyed,monster,floating,,,
floating_eye_blue,monster,floating,,,blue
floating_eye_green,monster,floating,,,green
floating_eye_grey,monster,floating,,,grey
floating_eye_red,monster,floating,,,red
floating_eye_tentacled,monster,floating,,,
floating_eye_tentacled3_eyes,monster,floating,,,
floating_eye_tentacled4_eyes,monster,floating,,,
floating_eye_tentacled6_eyes,monster,floating,,,
floating_eye_yellow,monster,floating,,,yellow
fly,monster,fly,,,
fly_carrion,monster,fly,,,
frog_giant_green,monster,frog,,,green
frog_giant_pink,monster,frog,,,pink
gargoyle_brown,monster,gargoyle,,,brown
gargoyle_red,monster,gargoyle,,,red
genie,monster,genie,,,
ghost2_grey,monster,ghost,,,grey
ghost2_grey_red,monster,ghost,,,grey_red
ghost3_blue,monster,ghost,,,blue
ghost3_grey,monster,ghost,,,grey
ghost3_pink,monster,ghost,,,pink
ghost_black,monster,ghost,,,black
ghost_blue,monster,ghost,,,blue
ghost_green,monster,ghost,,,green
ghost_grey,monster,ghost,,,grey
ghost_orange,monster,ghost,,,orange
ghost_purple,monster,ghost,,,purple
ghost_red,monster,ghost,,,red
giant_cloud,monster,giant,,,
giant_fire,monster,giant,,,
giant_frost,monster,giant,,,
giant_hill,monster,giant,,,
giant_storm,monster,giant,,,
giant_titan_greater,monster,giant,,,
giant_titan_lesser,monster,giant,,,
giant_two_headed,monster,giant,,,
gnome3,npc,gnome,gnome,,
gnome_fighter,character,gnome,gnome,fighter,
gnome_fighter10,character,gnome,gnome,fighter,
gnome_fighter2,character,gnome,gnome,fighter,
gnome_fighter3,character,gnome,gnome,fighter,
gnome_fighter4,character,gnome,gnome,fighter,
gnome_fighter5,character,gnome,gnome,fighter,
gnome_fighter6,character,gnome,gnome,fighter,
gnome_fighter7,character,gnome,gnome,fighter,
gnome_fighter8,character,gnome,gnome,fighter,
gnome_fighter9,character,gnome,gnome,fighter,
gnome_mage,character,gnome,gnome,mage,
gnome_mage10,character,gnome,gnome,mage,
gnome_mage12,character,gnome,gnome,mage,
gnome_mage15,character,gnome,gnome,mage,
gnome_mage16,character,gnome,gnome,mage,
gnome_mage2,character,gnome,gnome,mage,
gnome_mage3,character,gnome,gnome,mage,
gnome_mage4,character,gnome,gnome,mage,
gnome_mage5,character,gnome,gnome,mage,
gnome_mage6,character,gnome,gnome,mage,
gnome_mage7,character,gnome,gnome,mage,
gnome_mage8,character,gnome,gnome,mage,
gnome_mage9,character,gnome,gnome,mage,
gnome_priest,character,gnome,gnome,priest,
gnome_priest2,character,gnome,gnome,priest,
gnome_priest3,character,gnome,gnome,priest,
gnome_thief,character,gnome,gnome,thief,
golem_blue,monster,golem,,,blue
golem_brown,monster,golem,,,brown
golem_brown_caped,monster,golem,,,brown
golem_brown_stick,monster,golem,,,brown
golem_dragon_grey,monster,golem,,,grey
golem_dragon_red,monster,golem,,,red
golem_electric,monster,golem,,,
golem_grey,monster,golem,,,grey
golem_grey_clothed,monster,golem,,,grey
golem_grey_stick,monster,golem,,,grey
golem_teal,monster,golem,,,teal
grass_killer,monster,grass,,,
gray_wolf,monster,gray,,,gray
grey_ones_fighter,monster,grey,,fighter,grey
grey_ones_fighter2,monster,grey,,fighter,grey
grey_ones_fighter3,monster,grey,,fighter,grey
grey_ones_mage,monster,grey,,mage,grey
grey_ones_mage2,monster,grey,,mage,grey
grey_ones_mage3,monster,grey,,mage,grey
grizzly_bear,monster,grizzly,,,
gryphon,monster,gryphon,,,
gryphon_brown,monster,gryphon,,,brown
gryphon_red,monster,gryphon,,,red
half_ogre_fighter,character,half,half,fighter,
half_ogre_fighter10,character,half,half,fighter,
half_ogre_fighter13,character,half,half,fighter,
half_ogre_fighter2,character,half,half,fighter,
half_ogre_fighter3,character,half,half,fighter,
half_ogre_fighter4,character,half,half,fighter,
half_ogre_mage,character,half,half,mage,
half_ogre_mage2,character,half,half,mage,
half_ogre_mage3,character,half,half,mage,
half_ogre_priest,character,half,half,priest,
half_ogre_priest3,character,half,half,priest,
halfling_fighter,character,halfling,halfling,fighter,
halfling_fighter2,character,halfling,halfling,fighter,
halfling_fighter3,character,halfling,halfling,fighter,
halfling_fighter7,character,halfling,halfling,fighter,
halfling_mage,character,halfling,halfling,mage,
halfling_mage2,character,halfling,halfling,mage,
halfling_mage3,character,halfling,halfling,mage,
halfling_mage4,character,halfling,halfling,mage,
halfling_mage5,character,halfling,halfling,mage,
halfling_priest,character,halfling,halfling,priest,
halfling_priest2,character,halfling,halfling,priest,
halfling_thief,character,halfling,halfling,thief,
horse01,monster,horse,,,
horse02,monster,horse,,,
horse03,monster,horse,,,
human_archer,character,human,human,archer,
human_druid01,character,human,human,druid,
human_druid02,character,human,human,druid,
human_druid03,character,human,human,druid,
human_druid04,character,human,human,druid,
human_druid05,character,human,human,druid,
human_druid06,character,human,human,druid,
human_druid07,character,human,human,druid,
human_druid08,character,human,human,druid,
human_druid31,character,human,human,druid,
human_druid32,character,human,human,druid,
human_fighter,character,human,human,fighter,
human_fighter10,character,human,human,fighter,
human_fighter11,character,human,human,fighter,
human_fighter12,character,human,human,fighter,
human_fighter13,character,human,human,fighter,
human_fighter14,character,human,human,fighter,
human_fighter15,character,human,human,fighter,
human_fighter16,character,human,human,fighter,
human_fighter2,character,human,human,fighter,
human_fighter21,character,human,human,fighter,
human_fighter22,character,human,human,fighter,
human_fighter3,character,human,human,fighter,
human_fighter31,character,human,human,fighter,
human_fighter32,character,human,human,fighter,
human_fighter33,character,human,human,fighter,
human_fighter34,character,human,human,fighter,
human_fighter35,character,human,human,fighter,
human_fighter36,character,human,human,fighter,
human_fighter5,character,human,human,fighter,
human_fighter6,character,human,human,fighter,
human_fighter7,character,human,human,fighter,
human_fighter8,character,human,human,fighter,
human_fighter9,character,human,human,fighter,
human_mage,character,human,human,mage,
human_mage10,character,human,human,mage,
human_mage11,character,human,human,mage,
human_mage12,character,human,human,mage,
human_mage13,character,human,human,mage,
human_mage14,character,human,human,mage,
human_mage15,character,human,human,mage,
human_mage18,character,human,human,mage,
human_mage19,character,human,human,mage,
human_mage2,character,human,human,mage,
human_mage20,character,human,human,mage,
human_mage3,character,human,human,mage,
human_mage31,character,human,human,mage,
human_mage32,character,human,human,mage,
human_mage33,character,human,human,mage,
human_mage34,character,human,human,mage,
human_mage35,character,human,human,mage,
human_mage36,character,human,human,mage,
human_mage4,character,human,human,mage,
human_mage5,character,human,human,mage,
human_mage6,character,human,human,mage,
human_mage7,character,human,human,mage,
human_mage8,character,human,human,mage,
human_mage9,character,human,human,mage,
human_paladin,character,human,human,paladin,
human_priest,character,human,human,priest,
human_priest01,character,human,human,priest,
human_priest02,character,human,human,priest,
human_priest03,character,human,human,priest,
human_priest04,character,human,human,priest,
human_priest2,character,human,human,priest,
human_priest20,character,human,human,priest,
human_priest3,character,human,human,priest,
human_priest31,character,human,human,priest,
human_priest32,character,human,human,priest,
human_priest33,character,human,human,priest,
human_priest34,character,human,human,priest,
human_priest35,character,human,human,priest,
human_priest4,character,human,human,priest,
human_priest9,character,human,human,priest,
human_ranger31,character,human,human,ranger,
human_thief,character,human,human,thief,
human_thief2,character,human,human,thief,
human_thief3,character,human,human,thief,
human_thief4,character,human,human,thief,
human_thief6,character,human,human,thief,
human_thief7,character,human,human,thief,
human_thief8,character,human,human,thief,
hydra10_head_red,monster,hydra,,,red
hydra2_head_brown,monster,hydra,,,brown
hydra3_head_red,monster,hydra,,,red
hydra4_head_grey,monster,hydra,,,grey
hydra5_eyed_white,monster,hydra,,,white
hydra6_head_yellow,monster,hydra,,,yellow
hydra7_head_grey,monster,hydra,,,grey
hydra8_head_purple,monster,hydra,,,purple
hydra9_head_green,monster,hydra,,,green
hydra9_headed_green,monster,hydra,,,green
imp,monster,imp,,,
imp_fighter,monster,imp,,fighter,
imp_fighter2,monster,imp,,fighter,
imp_fighter4,monster,imp,,fighter,
imp_mage,monster,imp,,mage,
imp_mage2,monster,imp,,mage,
imp_priest,monster,imp,,priest,
jellyfish_blue,monster,jellyfish,,,blue
jellyfish_brown,monster,jellyfish,,,brown
jellyfish_green,monster,jellyfish,,,green
jellyfish_grey,monster,jellyfish,,,grey
jellyfish_grey2,monster,jellyfish,,,grey
jellyfish_orange,monster,jellyfish,,,orange
jellyfish_orange2,monster,jellyfish,,,orange
jellyfish_pink,monster,jellyfish,,,pink
jellyfish_pink2,monster,jellyfish,,,pink
jellyfish_purple,monster,jellyfish,,,purple
jellyfish_red,monster,jellyfish,,,red
jellyfish_teal,monster,jellyfish,,,teal
jellyfish_white2,monster,jellyfish,,,white
jellyfish_yellow,monster,jellyfish,,,yellow
jellyfish_yellow2,monster,jellyfish,,,yellow
kobold_fighter,monster,kobold,kobold,fighter,
kobold_fighter10,monster,kobold,kobold,fighter,
kobold_fighter2,monster,kobold,kobold,fighter,
kobold_fighter3,monster,kobold,kobold,fighter,
kobold_fighter4,monster,kobold,kobold,fighter,
kobold_large,monster,kobold,kobold,,
kobold_mage,monster,kobold,kobold,mage,
kobold_mage2,monster,kobold,kobold,mage,
kobold_mage3,monster,kobold,kobold,mage,
kobold_medium,monster,kobold,kobold,,
kobold_priest,monster,kobold,kobold,priest,
kobold_small,monster,kobold,kobold,,
living_mound_brown,monster,living,,,brown
living_mound_brown_green,monster,living,,,brown_green
living_mound_flesh,monster,living,,,
living_mound_green,monster,living,,,green
living_mound_green_brown,monster,living,,,green_brown
living_mound_light_green,monster,living,,,light_green
living_mound_magenta,monster,living,,,magenta
living_mound_orange,monster,living,,,orange
living_mound_red,monster,living,,,red
living_mound_teal,monster,living,,,teal
lizard_brown,monster,lizard,,,brown
lizard_green,monster,lizard,,,green
lizard_grey,monster,lizard,,,grey
lizard_red,monster,lizard,,,red
lizard_striped,monster,lizard,,,
medusa,monster,medusa,,,
mold_blue,monster,mold,,,blue
mold_blue_dark,monster,mold,,,blue_dark
mold_blue_grey,monster,mold,,,blue_grey
mold_bown_dark,monster,mold,,,dark
mold_brown,monster,mold,,,brown
mold_green,monster,mold,,,green
mold_green_dark,monster,mold,,,green_dark
mold_grey,monster,mold,,,grey
mold_purple,monster,mold,,,purple
mold_purple_dark,monster,mold,,,purple_dark
mold_red,monster,mold,,,red
mold_red_light,monster,mold,,,red_light
mule,monster,mule,,,
mummy_green,monster,mummy,,,green
mummy_grey,monster,mummy,,,grey
mummy_pink,monster,mummy,,,pink
mummy_purple,monster,mummy,,,purple
mummy_red,monster,mummy,,,red
mummy_teal,monster,mummy,,,teal
mummy_white,monster,mummy,,,white
mummy_yellow,monster,mummy,,,yellow
mushrooms_black,monster,mushrooms,,,black
mushrooms_gold,monster,mushrooms,,,gold
mushrooms_green,monster,mushrooms,,,green
mushrooms_green_blue,monster,mushrooms,,,green_blue
mushrooms_grey,monster,mushrooms,,,grey
mushrooms_pink,monster,mushrooms,,,pink
mushrooms_purple,monster,mushrooms,,,purple
ninja,monster,ninja,,ninja,
ogre_black,monster,ogre,ogre,,black
ogre_brown,monster,ogre,ogre,,brown
ogre_lord,monster,ogre,ogre,,
ogre_mage,monster,ogre,ogre,mage,
ogre_primitive,monster,ogre,ogre,,
ooze_black,monster,ooze,,,black
ooze_blue,monster,ooze,,,blue
ooze_brown,monster,ooze,,,brown
ooze_green,monster,ooze,,,green
ooze_grey,monster,ooze,,,grey
orc,monster,orc,orc,,
orc_club,monster,orc,orc,,
orc_fighter,monster,orc,orc,fighter,
orc_fighter2,monster,orc,orc,fighter,
orc_fighter3,monster,orc,orc,fighter,
orc_fighter4,monster,orc,orc,fighter,
orc_fighter5,monster,orc,orc,fighter,
orc_fighter6,monster,orc,orc,fighter,
orc_fighter7,monster,orc,orc,fighter,
orc_fighter8,monster,orc,orc,fighter,
orc_green_fighter,monster,orc,orc,fighter,green
orc_grey_fighter,monster,orc,orc,fighter,grey
orc_grey_fighter2,monster,orc,orc,fighter,grey
orc_grey_fighter4,monster,orc,orc,fighter,grey
orc_grey_mage,monster,orc,orc,mage,grey
orc_guard,monster,orc,orc,,
orc_mage,monster,orc,orc,mage,
orc_mage2,monster,orc,orc,mage,
orc_priest,monster,orc,orc,priest,
orc_red,monster,orc,orc,,red
orc_red_fighter,monster,orc,orc,fighter,red
orc_red_fighter3,monster,orc,orc,fighter,red
orc_red_king,monster,orc,orc,,red
people01,npc,people,people,,
people02,npc,people,people,,
people03,npc,people,people,,
people04,npc,people,people,,
people05,npc,people,people,,
people06,npc,people,people,,
people_beggar,npc,people,people,,
people_blond,npc,people,people,,
people_bodybuilder,npc,people,people,,
people_child,npc,people,people,,
people_drunk,npc,people,people,,
people_farmer,npc,people,people,,
people_guard,npc,people,people,,
people_hunchback,npc,people,people,,
people_hunchback_grey,npc,people,people,,grey
people_hunchback_red,npc,people,people,,red
people_jester,npc,people,people,,
phantom_eye,monster,phantom,,,
phantom_hand,monster,phantom,,,
phantom_skull,monster,phantom,,,
pheonix,monster,pheonix,,,
race10_fighter,character,race,race,fighter,
race10_fighter2,character,race,race,fighter,
race10_fighter3,character,race,race,fighter,
race10_fighter4,character,race,race,fighter,
race10_mage,character,race,race,mage,
race10_mage2,character,race,race,mage,
race10_mage3,character,race,race,mage,
race10_priest,character,race,race,priest,
race11_fighter,character,race,race,fighter,
race11_fighter2,character,race,race,fighter,
race11_fighter3,character,race,race,fighter,
race11_fighter4,character,race,race,fighter,
race11_fighter5,character,race,race,fighter,
race11_mage,character,race,race,mage,
race11_priest,character,race,race,priest,
race12_fighter,character,race,race,fighter,
race12_fighter2,character,race,race,fighter,
race12_fighter3,character,race,race,fighter,
race12_fighter4,character,race,race,fighter,
race12_mage,character,race,race,mage,
race12_priest,character,race,race,priest,
race13_fighter1,character,race,race,fighter,
race13_fighter2,character,race,race,fighter,
race13_fighter3,character,race,race,fighter,
race13_fighter5,character,race,race,fighter,
race13_fighter6,character,race,race,fighter,
race13_fighter8,character,race,race,fighter,
race13_mage,character,race,race,mage,
race13_mage2,character,race,race,mage,
race13_mage3,character,race,race,mage,
race13_mage4,character,race,race,mage,
race13_mage5,character,race,race,mage,
race13_mage6,character,race,race,mage,
race13_mage8,character,race,race,mage,
race13_priest,character,race,race,priest,
race14_grey,npc,race,race,,grey
race14_red,npc,race,race,,red
race14_yellow,npc,race,race,,yellow
race1_fighter,character,race,race,fighter,
race1_fighter2,character,race,race,fighter,
race1_fighter3,character,race,race,fighter,
race1_fighter4,character,race,race,fighter,
race1_mage,character,race,race,mage,
race1_mage2,character,race,race,mage,
race1_mage3,character,race,race,mage,
race1_mage4,character,race,race,mage,
race1_mage5,character,race,race,mage,
race1_mage6,character,race,race,mage,
race1_priest,character,race,race,priest,
race1_priest2,character,race,race,priest,
race2_fighter,character,race,race,fighter,
race2_fighter2,character,race,race,fighter,
race2_fighter3,character,race,race,fighter,
race2_fighter4,character,race,race,fighter,
race2_mage,character,race,race,mage,
race2_mage2,character,race,race,mage,
race2_mage3,character,race,race,mage,
race2_mage4,character,race,race,mage,
race2_mage5,character,race,race,mage,
race2_mage6,character,race,race,mage,
race2_priest,character,race,race,priest,
race2_priest2,character,race,race,priest,
race3_fighter,character,race,race,fighter,
race3_fighter2,character,race,race,fighter,
race3_fighter3,character,race,race,fighter,
race3_mage,character,race,race,mage,
race3_mage2,character,race,race,mage,
race3_priest,character,race,race,priest,
race4_fighter,character,race,race,fighter,
race4_fighter2,character,race,race,fighter,
race4_fighter3,character,race,race,fighter,
race4_fighter4,character,race,race,fighter,
race4_mage,character,race,race,mage,
race4_mage2,character,race,race,mage,
race5_fighter,character,race,race,fighter,
race5_fighter2,character,race,race,fighter,
race5_fighter3,character,race,race,fighter,
race5_fighter4,character,race,race,fighter,
race6_fighter,character,race,race,fighter,
race6_fighter2,character,race,race,fighter,
race6_fighter3,character,race,race,fighter,
race6_fighter4,character,race,race,fighter,
race6_mage,character,race,race,mage,
race6_priest,character,race,race,priest,
race7_fighter,character,race,race,fighter,
race7_fighter2,character,race,race,fighter,
race8_fighter,character,race,race,fighter,
race8_fighter2,character,race,race,fighter,
race8_fighter3,character,race,race,fighter,
race8_fighter4,character,race,race,fighter,
race8_fighter5,character,race,race,fighter,
race8_fighter6,character,race,race,fighter,
race8_fighter7,character,race,race,fighter,
race8_mage,character,race,race,mage,
race8_mage2,character,race,race,mage,
race8_mage5,character,race,race,mage,
race8_priest,character,race,race,priest,
race9_angel,npc,race,race,,
race9_fighter,character,race,race,fighter,
race9_mage,character,race,race,mage,
race9_mage2,character,race,race,mage,
race9_mage3,character,race,race,mage,
race9_priest,character,race,race,priest,
